Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price
Toyota,C-Class,1.020517774,Electric,2016,197602,6463
Honda,Golf,2.8593048,Hybrid,2000,196876,8624
Toyota,Fiesta,4.01959853,Petrol,2000,171384,31108
Ford,Civic,1.513909964,Electric,2016,58123,23355
Ford,Cruze,3.647646515,Petrol,2011,1365,28541
Mercedes-Benz,Altima,3.953399322,Petrol,2008,86224,28059
Volkswagen,Fiesta,3.200949957,Diesel,2009,198198,29888
Chevrolet,Golf,2.968104986,Petrol,2007,180139,36762
Toyota,Civic,1.650959327,Diesel,2012,2537,1485
Tesla,Fiesta,1.048007137,Diesel,2009,131807,20470
Toyota,Golf,1.002608866,Diesel,2002,140132,24899
Mercedes-Benz,Fiesta,2.95764799,Petrol,2000,114140,3664
Nissan,A4,2.509806883,Diesel,2007,18182,14834
Nissan,A4,2.669096758,Diesel,2004,48289,5711
Nissan,A4,1.936326321,Electric,2009,8347,15393
BMW,Altima,4.992689821,Electric,2022,81640,20301
Volkswagen,3 Series,4.105658441,Hybrid,2004,16068,17786
Toyota,Golf,3.36742554,Hybrid,2022,133856,27484
Audi,Corolla,2.460535621,Electric,2000,89780,45699
Tesla,A4,2.74241577,Hybrid,2000,190055,20131
Audi,Model 3,4.395909121,Petrol,2008,159898,14004
Volkswagen,Fiesta,1.601610555,Electric,2008,185303,47816
Audi,A4,4.730344695,Petrol,2010,192018,6629
Volkswagen,C-Class,3.930830161,Electric,2004,48105,18599
Toyota,C-Class,3.721391728,Hybrid,2009,104969,17246
Audi,3 Series,1.401022255,Hybrid,2022,2666,29557
Volkswagen,C-Class,4.368039772,Diesel,2018,154167,22738
BMW,Altima,3.842739847,Electric,2003,124112,14779
Mercedes-Benz,3 Series,2.450405474,Petrol,2018,24807,21131
Honda,Golf,3.196230286,Diesel,2017,50342,2590
Chevrolet,Model 3,2.041232462,Hybrid,2018,156163,2325
Volkswagen,Civic,1.848709456,Diesel,2018,56814,41458
Nissan,Altima,2.864959235,Diesel,2006,132290,45422
Chevrolet,Altima,4.755128904,Electric,2020,97510,16180
Ford,Corolla,2.662535278,Diesel,2004,195507,28797
Mercedes-Benz,Corolla,1.396366386,Diesel,2018,64766,6292
Nissan,Golf,4.804343025,Electric,2016,106732,35679
BMW,Golf,3.203782862,Petrol,2022,157847,48399
Tesla,C-Class,2.500788541,Electric,2009,149046,41170
Tesla,Civic,2.136915284,Petrol,2001,13479,21110
Mercedes-Benz,C-Class,1.082172589,Petrol,2012,55421,39681
Toyota,Civic,3.486035186,Diesel,2003,126861,20654
Nissan,Civic,2.798713368,Hybrid,2020,12780,4869
Honda,Model 3,3.752962604,Hybrid,2018,168062,29503
Volkswagen,Cruze,2.626581171,Petrol,2013,163642,14449
Ford,Altima,4.86431936,Hybrid,2015,67354,22725
Honda,A4,4.458096898,Hybrid,2010,59352,3005
Nissan,Corolla,2.438360769,Hybrid,2004,109963,37798
Tesla,Altima,2.4062666,Electric,2006,173033,44062
BMW,A4,4.851886354,Hybrid,2009,16052,1283
Volkswagen,Civic,3.949933882,Hybrid,2021,47741,10617
Honda,Corolla,2.430683355,Hybrid,2020,125446,34435
Tesla,C-Class,4.927499351,Diesel,2009,123630,36095
Audi,3 Series,1.996239054,Electric,2021,145439,43668
Audi,3 Series,2.649467378,Diesel,2013,199593,17396
Tesla,A4,1.607545217,Hybrid,2006,19937,38648
BMW,Golf,3.921763541,Hybrid,2017,72971,13776
BMW,C-Class,2.53528954,Petrol,2011,46127,4219
BMW,A4,1.112531752,Hybrid,2005,125310,6858
Audi,Civic,3.172459177,Diesel,2006,187183,10899
Toyota,C-Class,2.364041092,Diesel,2010,49982,29818
Nissan,C-Class,3.429902907,Electric,2016,170307,49705
Mercedes-Benz,Golf,1.134309105,Diesel,2014,168696,19376
Toyota,Cruze,1.879519144,Hybrid,2021,174423,1582
Nissan,Civic,3.336973622,Petrol,2006,168955,22270
Audi,Altima,3.193388866,Hybrid,2021,8344,11923
Toyota,Cruze,1.757178223,Hybrid,2000,173312,47731
Honda,3 Series,1.181936189,Hybrid,2004,64403,39932
Toyota,Model 3,1.787466681,Electric,2009,95878,27707
Tesla,A4,4.755119572,Hybrid,2003,150658,28239
Volkswagen,Model 3,1.381462147,Hybrid,2020,48610,9124
BMW,Corolla,1.47155078,Petrol,2001,189853,36320
Mercedes-Benz,3 Series,2.126394756,Diesel,2007,69945,13459
Honda,Fiesta,2.59203906,Electric,2007,23758,1079
BMW,Corolla,3.476118031,Diesel,2001,50829,37834
Mercedes-Benz,Corolla,3.436183285,Petrol,2019,37443,7734
Tesla,Golf,4.823701302,Hybrid,2002,37034,45732
Ford,Altima,4.320090419,Diesel,2000,101576,43138
Honda,Altima,3.720928312,Hybrid,2016,121075,19004
Ford,3 Series,1.465821675,Diesel,2018,148075,48445
Ford,Fiesta,4.234844603,Diesel,2001,90955,23454
Mercedes-Benz,Civic,4.779299646,Hybrid,2022,64441,42612
Honda,C-Class,1.689562711,Petrol,2006,174782,5065
Nissan,Cruze,4.529327261,Hybrid,2015,194394,1102
BMW,Civic,4.481895497,Petrol,2001,99599,22995
Ford,Cruze,1.611206727,Diesel,2007,179135,47944
Honda,Altima,4.121723909,Diesel,2017,117728,22046
Audi,Golf,3.28430867,Diesel,2018,78625,42743
Nissan,Altima,4.070030123,Hybrid,2009,125730,11571
Mercedes-Benz,Altima,3.827332534,Electric,2015,198180,30859
Tesla,Fiesta,2.696389354,Petrol,2021,150363,41930
Nissan,Cruze,4.039213873,Electric,2020,2119,2221
Audi,3 Series,3.57741718,Hybrid,2015,112402,23559
Nissan,3 Series,3.595204925,Electric,2011,64348,19741
Mercedes-Benz,Model 3,1.107890399,Diesel,2009,81389,30972
Mercedes-Benz,Fiesta,3.835775698,Electric,2004,134365,30700
Tesla,A4,4.491441004,Electric,2015,54595,23526
Audi,Altima,1.253649457,Electric,2018,23123,13120
Tesla,A4,2.141308452,Diesel,2009,84094,26852
BMW,Cruze,2.304523401,Electric,2003,162685,48162
Ford,Model 3,3.878793682,Diesel,2000,76798,4524
Chevrolet,A4,4.714262073,Diesel,2016,8579,8404
Volkswagen,Cruze,3.043689033,Hybrid,2013,165648,45532
Toyota,Civic,1.753550634,Hybrid,2009,38086,29726
Tesla,Corolla,1.452111171,Diesel,2001,116580,1264
Audi,Fiesta,1.621570623,Hybrid,2013,156297,30962
Honda,Model 3,3.197898199,Petrol,2002,181467,48254
BMW,Model 3,2.483175578,Electric,2018,171675,25509
Honda,C-Class,2.282635712,Electric,2014,39098,24832
Honda,Corolla,1.219660694,Electric,2015,9905,15506
Volkswagen,A4,2.572617567,Petrol,2000,158811,33820
Mercedes-Benz,Civic,1.023128947,Electric,2002,117308,43237
Audi,Corolla,1.615259979,Electric,2017,198573,47005
Ford,Golf,2.531506398,Petrol,2021,198511,18716
Audi,Fiesta,4.758828171,Hybrid,2010,26598,45294
Nissan,Corolla,1.538580915,Hybrid,2001,73485,15477
Mercedes-Benz,Cruze,1.908083567,Electric,2009,50216,20357
Honda,C-Class,1.123517754,Petrol,2019,127815,38202
Volkswagen,Altima,3.945820219,Hybrid,2008,73106,19302
BMW,Cruze,2.466061386,Electric,2020,87691,23512
Honda,C-Class,1.518131084,Diesel,2012,93432,42334
Mercedes-Benz,C-Class,2.943776419,Electric,2006,135747,21798
Honda,A4,1.38992215,Electric,2008,89786,27772
Toyota,Model 3,4.537080242,Electric,2022,71719,45438
Mercedes-Benz,Cruze,1.55401045,Petrol,2014,165777,26355
Audi,Cruze,4.901647812,Diesel,2015,106833,42544
BMW,Civic,4.836307743,Electric,2007,188835,27499
Chevrolet,Corolla,1.506375297,Electric,2008,29153,30205
Honda,Cruze,3.256999611,Electric,2016,134281,32435
Mercedes-Benz,Fiesta,3.191642134,Petrol,2003,151002,32562
Ford,Cruze,1.327018403,Hybrid,2006,177463,28847
Ford,Corolla,4.808464603,Electric,2014,26175,27900
Mercedes-Benz,A4,3.985727518,Electric,2015,125375,5507
Toyota,Golf,2.315083767,Diesel,2005,49587,40238
Tesla,Civic,2.8460325,Hybrid,2021,53480,22137
BMW,3 Series,3.023537459,Diesel,2019,12263,18538
BMW,Fiesta,1.38421546,Petrol,2010,172815,27593
Ford,Golf,2.070296394,Electric,2010,91271,12845
Chevrolet,A4,1.829654078,Diesel,2009,100240,4666
Chevrolet,3 Series,4.884597839,Diesel,2012,186507,40899
Mercedes-Benz,Golf,4.223937638,Petrol,2018,1374,36845
BMW,Model 3,3.950716017,Hybrid,2018,86839,35911
Ford,Model 3,2.654241597,Hybrid,2008,93314,18723
Ford,Cruze,4.125924733,Hybrid,2012,74700,24449
Nissan,Civic,2.646604711,Diesel,2017,91421,45798
Volkswagen,Corolla,1.771056892,Petrol,2013,46756,18859
Tesla,3 Series,2.801780356,Petrol,2000,99848,44682
Audi,Golf,3.458191687,Diesel,2006,7216,8215
Audi,3 Series,1.125730388,Petrol,2014,19467,19043
Nissan,3 Series,1.390062146,Diesel,2016,96640,7187
Nissan,Model 3,4.486686244,Hybrid,2004,32742,17292
Ford,Fiesta,1.001364438,Hybrid,2010,41851,40751
Tesla,Civic,1.533571446,Petrol,2017,111518,13457
Toyota,Altima,1.928098899,Electric,2003,117859,15607
Mercedes-Benz,Fiesta,4.403241642,Hybrid,2007,152130,11271
Tesla,Civic,2.873981733,Hybrid,2000,132659,46599
Mercedes-Benz,Golf,1.494804783,Electric,2011,129561,10705
Nissan,Model 3,4.494706458,Diesel,2001,157032,39282
Chevrolet,A4,3.711663003,Diesel,2009,62201,35594
Ford,C-Class,2.466732692,Petrol,2011,61884,40975
Nissan,Golf,4.917730101,Petrol,2007,189042,38977
Nissan,3 Series,3.330119646,Diesel,2013,177565,32902
Chevrolet,A4,1.757600974,Electric,2006,63956,34955
Ford,A4,2.151656956,Hybrid,2018,164523,28401
Toyota,Altima,4.911443253,Electric,2000,194121,4064
Mercedes-Benz,C-Class,2.580583211,Hybrid,2007,146202,35658
Mercedes-Benz,Model 3,3.916155249,Diesel,2022,157676,41418
Tesla,C-Class,1.296084704,Electric,2011,136027,29221
Mercedes-Benz,Cruze,4.052444399,Petrol,2007,14864,9826
Mercedes-Benz,3 Series,2.380096956,Electric,2003,51110,12303
Chevrolet,Golf,2.904885365,Petrol,2006,100785,4221
Mercedes-Benz,Golf,3.06604956,Hybrid,2004,135752,30579
Ford,Civic,4.957881004,Petrol,2000,72536,34715
BMW,Model 3,3.553806982,Diesel,2005,6195,29978
Toyota,3 Series,1.448707701,Hybrid,2016,104585,49992
Mercedes-Benz,Fiesta,1.91856286,Hybrid,2018,99676,30105
Ford,Fiesta,1.108117836,Hybrid,2008,166909,14791
BMW,Golf,1.767233239,Hybrid,2006,102881,6099
Ford,C-Class,1.855449369,Petrol,2011,117707,28832
Mercedes-Benz,Civic,4.800430941,Electric,2007,52158,5453
Toyota,C-Class,3.572928321,Hybrid,2009,176308,5045
Nissan,Civic,1.020748849,Diesel,2013,111594,21158
Audi,A4,1.645870745,Petrol,2005,66354,7731
Audi,3 Series,1.128250494,Hybrid,2001,180302,14820
BMW,3 Series,1.028950414,Hybrid,2003,67923,49899
Honda,Model 3,2.599463242,Hybrid,2016,122471,2008
Audi,3 Series,2.303185303,Diesel,2003,24031,10401
Tesla,A4,1.433263407,Hybrid,2017,164026,42275
Volkswagen,C-Class,2.323604521,Petrol,2012,88355,33391
Chevrolet,C-Class,1.697380763,Hybrid,2004,37886,40726
Toyota,Model 3,2.472966471,Electric,2005,72135,2341
Tesla,3 Series,3.793018481,Hybrid,2002,25097,37426
Honda,Model 3,3.43792927,Petrol,2003,129785,19961
Toyota,Cruze,2.971232347,Hybrid,2021,197417,31438
Audi,Civic,2.721130677,Petrol,2009,193744,35684
Nissan,Model 3,4.073713818,Hybrid,2006,40372,40524
Ford,Altima,1.989743385,Diesel,2020,164661,9882
Audi,Altima,1.666353838,Hybrid,2002,142562,9478
Audi,Corolla,3.609818891,Hybrid,2012,75049,26707
Chevrolet,Cruze,3.272716353,Hybrid,2017,143297,17619
Mercedes-Benz,Civic,3.145614157,Hybrid,2006,104242,4657
Honda,C-Class,3.927658284,Diesel,2017,193674,43105
Audi,Fiesta,1.912443874,Hybrid,2008,157806,24176
Audi,Corolla,2.433584212,Hybrid,2006,142973,18533
Tesla,Fiesta,4.414428927,Diesel,2019,33760,2243
Ford,3 Series,4.714581255,Diesel,2022,141062,11676
Toyota,Model 3,4.122307205,Hybrid,2012,56021,7220
Volkswagen,3 Series,1.866947581,Hybrid,2019,37327,24461
Chevrolet,Golf,2.440896095,Hybrid,2018,25218,44321
Ford,A4,4.489480956,Electric,2010,131121,30235
Tesla,A4,4.702281955,Diesel,2009,36596,21430
Nissan,Fiesta,1.730147887,Electric,2014,116323,37224
Honda,Civic,2.329852667,Hybrid,2016,1819,47246
Volkswagen,Cruze,1.22850481,Electric,2005,68004,36501
Tesla,A4,1.597673759,Petrol,2015,189024,9393
Volkswagen,Corolla,1.977230448,Electric,2019,37624,31517
Ford,Civic,3.046942779,Electric,2002,55443,41437
Mercedes-Benz,Fiesta,4.653112371,Hybrid,2008,91739,32209
BMW,3 Series,1.490342287,Diesel,2004,114811,23427
BMW,Model 3,4.80896807,Petrol,2019,54719,8784
Toyota,Corolla,1.750285766,Petrol,2014,175189,20367
Honda,Fiesta,1.616813918,Diesel,2017,199836,38526
Audi,A4,2.95767353,Hybrid,2015,140439,37184
Audi,Corolla,2.348090097,Hybrid,2004,143248,7198
Chevrolet,Fiesta,3.741595501,Electric,2021,194970,33625
Mercedes-Benz,A4,4.882677388,Electric,2005,132255,46077
Volkswagen,A4,3.111678478,Hybrid,2011,86190,28427
Nissan,C-Class,3.172653209,Petrol,2011,123656,49807
Honda,Civic,4.538570656,Diesel,2018,34066,7743
Volkswagen,Cruze,3.093544615,Petrol,2009,14840,41784
Ford,Fiesta,4.864410135,Petrol,2010,121710,42829
Ford,Civic,3.746566328,Electric,2018,60748,24122
Ford,Civic,4.834273722,Hybrid,2013,108963,16087
Audi,Cruze,3.506538635,Hybrid,2006,11677,15857
Mercedes-Benz,3 Series,2.96456973,Petrol,2015,186670,30378
Tesla,Fiesta,1.573532384,Electric,2018,34250,28498
Ford,Altima,3.868318647,Diesel,2016,129636,29110
Honda,Corolla,1.979851786,Petrol,2005,156028,44187
Nissan,Golf,1.170936214,Electric,2001,3493,20732
Tesla,Fiesta,4.653948463,Electric,2021,98025,25908
Volkswagen,A4,2.573177116,Hybrid,2002,189364,35437
BMW,3 Series,4.376525408,Electric,2017,45366,38720
Volkswagen,Fiesta,3.222598683,Petrol,2015,171329,24680
Chevrolet,3 Series,1.194522329,Petrol,2015,9009,30833
Audi,Corolla,2.428162892,Hybrid,2022,107740,24699
Ford,C-Class,1.896391011,Diesel,2020,199230,31928
BMW,3 Series,3.454686989,Hybrid,2001,98933,43755
Toyota,Cruze,1.078572716,Diesel,2005,77558,31797
Nissan,Altima,4.32659055,Petrol,2020,117375,1065
Audi,C-Class,3.799715378,Electric,2020,94308,43132
Ford,Model 3,1.969606382,Hybrid,2020,80123,32455
Nissan,A4,2.96158078,Electric,2018,134412,25202
Honda,Altima,4.338389707,Diesel,2004,183446,15733
Ford,C-Class,1.14467561,Electric,2016,116032,23030
Toyota,Civic,1.016471408,Diesel,2018,123329,7881
Toyota,Civic,1.812692916,Petrol,2001,196440,8190
Toyota,Cruze,4.177689877,Diesel,2009,133448,19706
Chevrolet,Cruze,4.449633129,Diesel,2007,29050,5876
Chevrolet,Civic,2.92995895,Petrol,2005,24841,28091
Audi,Model 3,2.71272828,Diesel,2007,102703,39412
Audi,Altima,1.608675072,Electric,2022,74974,30914
Ford,Corolla,2.199715558,Petrol,2002,103317,36836
Ford,Civic,4.129790207,Petrol,2010,16276,45515
Honda,A4,4.951096766,Diesel,2021,92254,13562
Volkswagen,3 Series,4.217939828,Petrol,2017,151561,41167
BMW,Altima,2.90436453,Electric,2010,164875,12407
Mercedes-Benz,Corolla,2.427843007,Electric,2015,186931,48503
Ford,Fiesta,4.81870314,Hybrid,2021,69828,7109
Volkswagen,C-Class,2.01483005,Electric,2014,29925,18688
Mercedes-Benz,Golf,2.058978274,Petrol,2008,74254,38401
Chevrolet,Golf,2.600040843,Petrol,2002,173213,48643
BMW,Cruze,1.877065718,Diesel,2010,163838,4690
Honda,3 Series,1.784188042,Electric,2016,155146,12154
Honda,Fiesta,3.408441319,Hybrid,2007,68081,38889
Honda,Corolla,3.249073678,Diesel,2009,172639,1572
Nissan,Corolla,1.31651772,Electric,2003,140265,32506
Toyota,Golf,4.884204908,Petrol,2014,158258,46930
Toyota,Altima,2.5050588,Diesel,2004,58771,49043
Chevrolet,Golf,3.345732936,Hybrid,2017,93510,7110
Volkswagen,A4,4.28650354,Petrol,2003,186221,44629
Ford,Golf,3.481840624,Hybrid,2019,25469,39384
Toyota,A4,4.555040985,Petrol,2006,44721,18503
BMW,3 Series,3.202784126,Diesel,2004,111300,17069
Tesla,Cruze,3.268216046,Diesel,2006,71617,39813
Honda,3 Series,4.553819737,Hybrid,2010,127576,48076
Nissan,Fiesta,2.808343984,Electric,2003,93534,13885
Honda,Civic,4.664872105,Hybrid,2011,39360,1306
Audi,Civic,3.277444629,Diesel,2008,199466,14512
Tesla,Cruze,2.154610387,Hybrid,2018,97010,16577
Tesla,Model 3,1.623140766,Hybrid,2001,97287,36286
Toyota,Corolla,3.302020568,Hybrid,2000,191795,13453
Honda,Fiesta,4.646860002,Hybrid,2005,22411,7489
Honda,Cruze,1.099647495,Diesel,2016,152475,48136
Chevrolet,Altima,1.2432712,Petrol,2000,15171,39019
Ford,C-Class,2.326125045,Petrol,2020,180964,19318
BMW,Civic,2.61934003,Electric,2003,27683,36561
Toyota,Model 3,1.278690883,Hybrid,2021,22431,8819
Tesla,Corolla,3.590338868,Electric,2004,153802,18184
Volkswagen,Golf,2.899896663,Electric,2021,137942,18867
Honda,Corolla,2.299264984,Electric,2001,124509,17638
Chevrolet,Civic,1.949227501,Diesel,2006,5388,12730
Tesla,3 Series,1.990585092,Hybrid,2010,22153,28543
Tesla,C-Class,3.640513575,Electric,2018,142316,4884
Honda,A4,3.7260925,Diesel,2007,34001,34842
Volkswagen,Model 3,4.256360401,Petrol,2004,143948,49374
Honda,Corolla,2.179948534,Diesel,2014,177379,43376
Mercedes-Benz,Civic,3.491275464,Petrol,2002,160373,26961
Nissan,Model 3,1.033573726,Hybrid,2017,56738,29967
Volkswagen,Altima,3.157545628,Electric,2016,40073,4668
Nissan,Fiesta,3.603006019,Diesel,2007,156727,10173
Volkswagen,A4,2.272230816,Diesel,2002,6317,5999
Honda,Civic,1.00650026,Diesel,2005,2143,49844
Tesla,Civic,2.037367639,Hybrid,2021,50250,17050
Honda,Golf,4.864669777,Petrol,2019,105124,14346
Toyota,Golf,2.065964921,Diesel,2018,76237,44514
Tesla,Civic,4.915780843,Diesel,2000,196014,3457
Nissan,Golf,3.96554711,Electric,2001,117496,12946
Tesla,Cruze,3.187852663,Electric,2010,140236,19302
Chevrolet,Golf,2.287900958,Diesel,2021,73914,34139
Chevrolet,Altima,1.999272558,Petrol,2009,54599,42530
Chevrolet,Altima,1.080483898,Diesel,2016,193845,40582
BMW,Cruze,3.910815936,Petrol,2007,94503,39265
Volkswagen,Civic,4.551570088,Petrol,2009,32115,33598
Tesla,Golf,1.282779021,Diesel,2000,147651,21205
Ford,C-Class,2.922201116,Diesel,2021,32678,1967
Honda,C-Class,1.984220578,Electric,2019,114658,35771
Ford,C-Class,2.960955655,Hybrid,2007,97117,29954
Mercedes-Benz,C-Class,1.265834312,Petrol,2011,24484,21587
Chevrolet,Corolla,2.739232396,Petrol,2008,187407,12195
BMW,Model 3,3.565708331,Electric,2011,93073,30078
Toyota,Civic,1.256181791,Petrol,2022,179050,47970
Audi,Golf,3.150273442,Hybrid,2017,152797,25294
Audi,Model 3,2.623490049,Petrol,2021,104342,3070
BMW,Altima,4.598179435,Electric,2020,196340,12590
Chevrolet,Altima,3.653870278,Petrol,2004,83475,8870
Audi,Corolla,3.079982907,Diesel,2020,184112,33833
Audi,A4,1.62784512,Petrol,2008,44298,9491
Nissan,C-Class,4.276305192,Hybrid,2013,60778,19537
Nissan,Cruze,4.691268737,Diesel,2004,85500,39871
Honda,Altima,4.39938878,Diesel,2004,154778,14933
Audi,Golf,2.638340274,Petrol,2016,134685,22588
Chevrolet,Fiesta,4.313587173,Electric,2006,35895,35886
Audi,Civic,4.524466239,Electric,2006,149910,42211
Ford,Corolla,4.255739412,Petrol,2016,39703,41824
Honda,Corolla,2.259685224,Electric,2008,3704,31618
Honda,Altima,2.564058887,Petrol,2004,75342,39598
BMW,C-Class,3.091704582,Electric,2000,10633,13001
Mercedes-Benz,Fiesta,1.51859147,Petrol,2012,47133,43652
Tesla,Cruze,2.240482978,Hybrid,2001,137340,12524
Toyota,Fiesta,2.989315504,Electric,2007,151349,31069
Chevrolet,Civic,1.446601374,Petrol,2012,85447,30417
Audi,Model 3,4.967539146,Hybrid,2018,97822,47253
Audi,Corolla,4.850937479,Hybrid,2008,37080,10030
Mercedes-Benz,Cruze,2.090577203,Petrol,2000,139602,17215
Ford,Corolla,2.5460935,Hybrid,2021,79935,33696
BMW,Altima,4.650861587,Diesel,2002,168711,16892
Mercedes-Benz,Civic,3.306705428,Hybrid,2012,161535,21896
Chevrolet,Cruze,1.921267306,Electric,2009,30722,2950
Audi,Civic,4.479737677,Petrol,2005,64057,2412
Nissan,C-Class,3.348185896,Electric,2014,89834,16018
Volkswagen,Model 3,3.897920829,Hybrid,2009,75364,42441
Chevrolet,Civic,1.153203036,Diesel,2017,146316,27798
Volkswagen,A4,4.751550121,Petrol,2021,124736,13957
Volkswagen,Altima,1.110161162,Petrol,2004,127921,30600
Chevrolet,Fiesta,2.629786678,Electric,2021,138151,19668
BMW,Civic,1.678671137,Hybrid,2021,191077,23835
BMW,Model 3,2.293474319,Electric,2003,42606,20763
Toyota,A4,3.147713608,Petrol,2006,108819,46712
Chevrolet,Cruze,2.114544156,Electric,2001,26804,8792
Chevrolet,Model 3,3.356358958,Electric,2018,152147,38063
Audi,A4,2.513586959,Hybrid,2007,151813,5853
Mercedes-Benz,C-Class,1.243718981,Petrol,2011,105074,24790
Tesla,Corolla,2.499102633,Petrol,2020,99652,18256
Chevrolet,3 Series,4.16150827,Diesel,2017,23243,30138
Volkswagen,C-Class,2.97519161,Petrol,2012,160423,10401
Nissan,C-Class,4.559618972,Diesel,2010,115628,36604
Ford,C-Class,3.827392814,Diesel,2007,97236,34828
Chevrolet,Fiesta,1.211194775,Hybrid,2009,55215,32279
Toyota,Altima,1.341571838,Electric,2003,173609,43098
BMW,Fiesta,4.614639476,Diesel,2009,168116,30181
Toyota,Model 3,1.520763534,Electric,2013,112751,41532
Volkswagen,Civic,3.800751948,Diesel,2012,182406,35337
Ford,Cruze,3.048302977,Electric,2019,61478,11228
Mercedes-Benz,Cruze,2.366777549,Electric,2020,65919,14222
Honda,Civic,2.587960104,Petrol,2003,62787,19702
BMW,Golf,3.717649315,Diesel,2014,20752,35546
Ford,Fiesta,4.178691189,Petrol,2011,129397,40938
Audi,Fiesta,2.111977721,Petrol,2001,129959,32034
Mercedes-Benz,Corolla,1.486918732,Electric,2011,63567,3946
Honda,Model 3,4.967864172,Electric,2002,61219,27479
Tesla,Altima,1.018607642,Hybrid,2000,112562,22007
Audi,Golf,1.096817606,Petrol,2003,48819,44876
Toyota,Corolla,3.72909853,Hybrid,2009,59146,48344
Mercedes-Benz,Corolla,3.500122233,Hybrid,2004,37533,14119
BMW,Civic,1.143831915,Diesel,2021,158077,44906
Chevrolet,C-Class,1.639217245,Petrol,2015,13153,37095
Toyota,Altima,3.113249335,Petrol,2019,10144,13116
Ford,Model 3,4.068565799,Hybrid,2005,186671,39258
Ford,Cruze,4.346309423,Electric,2020,113263,47148
Volkswagen,3 Series,1.297535809,Petrol,2008,24016,9644
Honda,Corolla,2.19966481,Hybrid,2003,116733,6268
Toyota,Model 3,4.946751803,Hybrid,2006,189753,35501
Audi,Model 3,4.83039425,Electric,2010,196316,17653
Toyota,Altima,3.972391039,Hybrid,2017,136540,8679
Toyota,Model 3,4.92930786,Electric,2015,164303,14904
Audi,Altima,3.808175818,Petrol,2010,20529,7676
Chevrolet,Fiesta,4.639710043,Electric,2017,54024,24858
Mercedes-Benz,Altima,1.751861851,Electric,2008,57192,36274
Honda,Fiesta,2.831056993,Electric,2022,111059,49708
Toyota,C-Class,2.697672923,Petrol,2002,58031,15585
Audi,Golf,4.717420894,Electric,2018,113736,8514
BMW,Corolla,4.473072324,Hybrid,2010,91637,4456
Audi,Model 3,1.782527464,Diesel,2013,101526,42196
Nissan,Golf,3.135466389,Petrol,2016,198809,31615
Honda,Golf,4.538448517,Diesel,2006,1893,36045
Volkswagen,Fiesta,4.493127651,Petrol,2012,47032,6051
Ford,3 Series,3.487202383,Diesel,2021,198727,20462
Chevrolet,Fiesta,2.044475904,Diesel,2019,116822,3632
Audi,C-Class,2.863127641,Diesel,2000,33581,35040
Chevrolet,Fiesta,1.157409484,Diesel,2018,21016,3465
BMW,Corolla,3.60583369,Diesel,2022,103888,39286
Volkswagen,A4,3.945861975,Petrol,2018,50143,2769
Nissan,A4,1.521202046,Petrol,2020,53482,29135
Audi,C-Class,1.830572616,Diesel,2007,143869,46418
BMW,Corolla,2.794529885,Hybrid,2011,42443,24975
Ford,3 Series,1.473334514,Petrol,2010,121556,30124
Audi,Model 3,4.242223222,Petrol,2004,48955,15797
Chevrolet,Altima,3.635765235,Hybrid,2000,94858,42230
BMW,Cruze,2.769412309,Electric,2021,75820,27997
Ford,A4,3.282564399,Petrol,2004,142908,37690
Tesla,A4,2.551140609,Diesel,2019,130445,3122
Honda,A4,3.882913929,Petrol,2013,98257,26373
Tesla,A4,2.277499377,Diesel,2004,129145,44572
Chevrolet,3 Series,2.731008694,Hybrid,2012,65078,16279
Honda,Corolla,4.762575529,Petrol,2013,74322,13738
Tesla,Fiesta,4.523378987,Diesel,2000,117167,37003
BMW,A4,4.926637838,Diesel,2016,57507,43033
Honda,C-Class,3.367106081,Petrol,2011,142993,1058
Audi,Cruze,3.008172985,Hybrid,2021,148157,39754
Ford,Golf,4.790843462,Petrol,2008,135018,38163
Volkswagen,Fiesta,2.208774467,Diesel,2021,46497,30742
Chevrolet,Altima,1.353172106,Diesel,2002,88349,14779
BMW,Altima,1.637718444,Hybrid,2010,66897,16582
Toyota,Golf,2.810781424,Electric,2001,20658,49213
Mercedes-Benz,Fiesta,4.480591556,Hybrid,2019,176479,34179
Honda,3 Series,3.614074412,Hybrid,2007,178789,16210
Honda,Fiesta,4.724312388,Electric,2004,13732,14321
Volkswagen,Golf,4.218872906,Electric,2018,199151,5386
Nissan,Model 3,2.899641064,Diesel,2020,92652,23492
Ford,3 Series,4.085638924,Electric,2008,111107,43662
BMW,Cruze,3.70098097,Hybrid,2006,175438,13369
Ford,Cruze,1.872493396,Hybrid,2007,157867,38397
Toyota,Model 3,3.098062917,Petrol,2008,57191,24236
BMW,Fiesta,1.080622605,Diesel,2007,154395,28895
Ford,Corolla,1.661141563,Electric,2009,35710,2944
Volkswagen,Civic,4.343153938,Electric,2009,26123,42017
Audi,Model 3,2.903672954,Petrol,2022,15670,40188
Mercedes-Benz,3 Series,1.384403366,Petrol,2002,180577,31772
Toyota,Civic,2.407486595,Electric,2021,159905,48051
Ford,Fiesta,1.376874195,Diesel,2016,122012,2999
BMW,Altima,2.643858822,Hybrid,2005,120398,34465
BMW,Fiesta,2.434393466,Petrol,2022,113747,41813
BMW,A4,2.601830164,Diesel,2013,139052,44309
Honda,3 Series,2.016673424,Petrol,2019,100879,27754
